site1-1,site1-2,site1-3,site1-4,site2-1,site2-2,site2-3,site2-4,site2-5,bedrock,site3,Area1,Area2,River,Area3
,,,,,,,,,270.1,,,1880,,2619.8
,,,,,,,,,1942.5,,,279,,2501.4
,,,,,,,,,239.3,,,445,,1966.4
,,,,,,,,,2176.9,,,456,,564.8
,,,,,,,,,1893,,,1848,,442.9
,,,,,,,,,1981.4,,,407,,80.8
,,,,,,,,,468.1,,,1826,,1874.6
,,,,,,,,,409.8,,,362,,1734.7
,,,,,,,,,1921,,,1881,,238.1
,,,,,,,,,2606.9,,,422,,964.8
,,,,,,,,,2313.8,,,1723,,1970.9
,,,,,,,,,1838.7,,,126,,38.2
,,,,,,,,,2022.4,,,1794,,244.4
,,,,,,,,,1891,,,249,,601.9
,,,,,,,,,268.6,,,486,,2514.7
,,,,,,,,,361.3,,,505,,771.2
,,,,,,,,,304.3,,,1911,,2610.8
,,,,,,,,,249.1,,,279,,223.6
,,,,,,,,,1731.9,,,2411,,1835.5
,,,,,,,,,2095.3,,,1713,,2545.2
,,,,,,,,,1868.7,,,373,,1853
,,,,,,,,,269.3,,,141,,40.1
,,,,,,,,,2471.7,,,235,,889
,,,,,,,,,2258.4,,,254,,1866.7
,,,,,,,,,244.2,,,1951,,2543
,,,,,,,,,1814.5,,,304,,246
,,,,,,,,,253.9,,,1892,,874.4
,,,,,,,,,2351.4,,,415,,974.4
,,,,,,,,,1770.2,,,244,,671.1
,,,,,,,,,2024.3,,,2187,,976
,,,,,,,,,228.1,,,304,,467
,,,,,,,,,2387.7,,,2465,,2348.6
,,,,,,,,,1909.8,,,320,,2430.6
,,,,,,,,,2332.4,,,268,,292
,,,,,,,,,1977.3,,,135,,2557.2
,,,,,,,,,266.4,,,263,,340.6
,,,,,,,,,2488.2,,,305,,2430.8
,,,,,,,,,1617.7,,,252,,1576.3
,,,,,,,,,2505.1,,,321,,1765.4
,,,,,,,,,1888.9,,,357,,940.3
,,,,,,,,,1809.8,,,2351,,2524.8
,,,,,,,,,2565.9,,,268,,641.3
,,,,,,,,,1885.4,,,2506,,503.1
,,,,,,,,,285.3,,,392,,793.1
,,,,,,,,,320.2,,,2475,,307.2
,,,,,,,,,2012.1,,,134,,814.9
,,,,,,,,,2111.5,,,245,,2538.4
,,,,,,,,,,,,2457,,986.9
,,,,,,,,,,,,262,,1057.7
,,,,,,,,,,,,1983,,1008
,,,,,,,,,,,,259,,2524.4
,,,,,,,,,,,,272,,982.6
,,,,,,,,,,,,254,,1925.2
,,,,,,,,,,,,367,,822.9
,,,,,,,,,,,,349,,1586.3
,,,,,,,,,,,,275,,624.2
,,,,,,,,,,,,262,,214
,,,,,,,,,,,,313,,880.6
,,,,,,,,,,,,355,,973.2
,,,,,,,,,,,,306,,2554.2
,,,,,,,,,,,,932,,1604.8
,,,,,,,,,,,,2488,,2480.9
,,,,,,,,,,,,1980,,770.6
,,,,,,,,,,,,292,,1636.3
,,,,,,,,,,,,336,,712.9
,,,,,,,,,,,,292,,218.7
,,,,,,,,,,,,508,,545.8
,,,,,,,,,,,,2068,,290.3
,,,,,,,,,,,,1910,,
,,,,,,,,,,,,361,,
,,,,,,,,,,,,320,,
,,,,,,,,,,,,383,,
,,,,,,,,,,,,246,,
,,,,,,,,,,,,2402,,
,,,,,,,,,,,,1563,,
,,,,,,,,,,,,392,,
,,,,,,,,,,,,127,,
,,,,,,,,,,,,229,,
,,,,,,,,,,,,1891,,
,,,,,,,,,,,,275,,
,,,,,,,,,,,,2399,,
,,,,,,,,,,,,1729,,
,,,,,,,,,,,,252,,
,,,,,,,,,,,,328,,
,,,,,,,,,,,,1977,,
,,,,,,,,,,,,281,,
,,,,,,,,,,,,249,,
,,,,,,,,,,,,454,,
,,,,,,,,,,,,326,,
,,,,,,,,,,,,1852,,
,,,,,,,,,,,,137,,
,,,,,,,,,,,,391,,
,,,,,,,,,,,,264,,
,,,,,,,,,,,,300,,
,,,,,,,,,,,,1835,,
,,,,,,,,,,,,1014,,
,,,,,,,,,,,,412,,
,,,,,,,,,,,,1472,,
,,,,,,,,,,,,1812,,
,,,,,,,,,,,,1771,,
,,,,,,,,,,,,1797,,
,,,,,,,,,,,,1755,,
,,,,,,,,,,,,296,,
,,,,,,,,,,,,2452,,
,,,,,,,,,,,,2040,,
,,,,,,,,,,,,436,,
,,,,,,,,,,,,1790,,
,,,,,,,,,,,,251,,
